Numberline_Q,Type,Step,E,Q,dt,F
50,Stiffness,325000,2.539807686793e+01,5.000000000000e+01,1.103e-03,2.046e-06
100,Stiffness,252500,4.997555597881e+01,1.000000000000e+02,1.003e-03,6.353e-08
113,Stiffness,244000,5.625756715707e+01,1.130000000000e+02,1.266e-03,6.706e-08
114,Converged,249114,5.673909651134e+01,1.140000000000e+02,1.125e-03,5.000e-08
115,Stiffness,246000,5.722038662044e+01,1.150000000000e+02,1.262e-03,5.669e-08
116,Converged,247767,5.770143823885e+01,1.160000000000e+02,1.011e-03,5.000e-08
117,Stiffness,244000,5.818225211448e+01,1.170000000000e+02,8.793e-04,5.851e-08
118,Converged,246379,5.866282898706e+01,1.180000000000e+02,8.140e-04,5.000e-08
119,Stiffness,245000,5.914316959003e+01,1.190000000000e+02,6.096e-04,2.905e-05
120,Converged,244907,5.962327464920e+01,1.200000000000e+02,6.096e-04,4.996e-08
125,Converged,241398,6.202029172829e+01,1.250000000000e+02,7.634e-04,5.000e-08
150,Converged,225461,7.392024903269e+01,1.500000000000e+02,1.172e-03,5.000e-08
200,Converged,202696,9.732323102870e+01,2.000000000000e+02,7.579e-04,5.000e-08
250,Converged,188301,1.202463497559e+02,2.500000000000e+02,7.491e-04,4.999e-08
300,Converged,178507,1.427378824591e+02,3.000000000000e+02,6.119e-04,4.987e-08
350,Converged,171642,1.648378776589e+02,3.500000000000e+02,6.909e-04,5.000e-08
400,Converged,166718,1.865805981383e+02,4.000000000000e+02,1.161e-03,5.000e-08
450,Converged,163209,2.079958796466e+02,4.500000000000e+02,1.047e-03,4.999e-08
500,Converged,160772,2.291099983762e+02,5.000000000000e+02,7.852e-04,5.000e-08
550,Converged,159112,2.499462801334e+02,5.500000000000e+02,1.176e-03,5.000e-08
600,Converged,158038,2.705255565336e+02,6.000000000000e+02,9.817e-04,4.999e-08
650,Converged,157505,2.908665217800e+02,6.500000000000e+02,1.223e-03,5.000e-08
700,Converged,157221,3.109860201162e+02,7.000000000000e+02,7.080e-04,4.981e-08
750,Converged,157297,3.308992823383e+02,7.500000000000e+02,8.194e-04,4.999e-08
800,Converged,157416,3.506201233993e+02,8.000000000000e+02,7.341e-04,5.000e-08
850,Converged,157785,3.701611094392e+02,8.500000000000e+02,6.576e-04,4.983e-08
900,Converged,158153,3.895337002643e+02,9.000000000000e+02,1.221e-03,4.999e-08
950,Converged,158686,4.087483717840e+02,9.500000000000e+02,6.565e-04,4.997e-08
1000,Converged,159236,4.278147218791e+02,1.000000000000e+03,7.317e-04,4.999e-08
1050,Converged,159842,4.467415624240e+02,1.050000000000e+03,6.796e-04,5.000e-08
1100,Converged,160583,4.655369996434e+02,1.100000000000e+03,1.052e-03,5.000e-08
1150,Converged,161194,4.842085045702e+02,1.150000000000e+03,1.013e-03,5.000e-08
1200,Converged,161934,5.027629750497e+02,1.200000000000e+03,9.754e-04,4.999e-08
1250,Converged,162727,5.212067904885e+02,1.250000000000e+03,6.762e-04,4.980e-08
1300,Converged,163587,5.395458603463e+02,1.300000000000e+03,6.512e-04,4.999e-08
1350,Converged,164528,5.577856672075e+02,1.350000000000e+03,1.084e-03,5.000e-08
1351,Converged,164484,5.581494864659e+02,1.351000000000e+03,7.801e-04,4.999e-08
1352,Stiffness,164000,5.585132681079e+02,1.352000000000e+03,1.452e-03,8.552e-06
1353,Converged,164542,5.588770121722e+02,1.353000000000e+03,7.801e-04,5.000e-08
1354,Stiffness,164000,5.592407186987e+02,1.354000000000e+03,1.210e-03,5.613e-08
1355,Converged,164585,5.596043877256e+02,1.355000000000e+03,9.362e-04,4.999e-08
1356,Stiffness,164000,5.599680192928e+02,1.356000000000e+03,1.452e-03,6.715e-06
1357,Stiffness,164000,5.603316134386e+02,1.357000000000e+03,8.400e-04,5.722e-08
1358,Converged,164625,5.606951702019e+02,1.358000000000e+03,6.740e-04,4.993e-08
1359,Stiffness,164000,5.610586896223e+02,1.359000000000e+03,1.452e-03,9.605e-06
1365,Stiffness,163000,5.632390241001e+02,1.365000000000e+03,8.414e-04,7.255e-08
1370,Stiffness,163000,5.650549496336e+02,1.370000000000e+03,1.212e-03,7.309e-08
1375,Stiffness,163000,5.668699531257e+02,1.375000000000e+03,1.010e-03,7.532e-08
1400,Stiffness,159500,5.759313051422e+02,1.400000000000e+03,9.103e-04,1.726e-07
1450,Stiffness,151000,5.939875139393e+02,1.450000000000e+03,3.325e-04,1.240e-06
1500,Stiffness,147000,6.119587097626e+02,1.500000000000e+03,7.748e-04,3.367e-06
1550,Stiffness,145000,6.298490126820e+02,1.550000000000e+03,1.080e-03,5.920e-06
2000,Stiffness,141500,7.877828270168e+02,2.000000000000e+03,8.112e-04,1.988e-05
5000,Stiffness,124000,1.773263797418e+03,5.000000000000e+03,9.325e-04,1.420e-05
10000,Stiffness,142000,3.338977458815e+03,1.000000000000e+04,1.046e-03,5.958e-06
12000,Stiffness,154000,3.956905030113e+03,1.200000000000e+04,1.144e-03,4.582e-06
14000,Stiffness,166000,4.572601171178e+03,1.400000000000e+04,1.447e-03,6.826e-06
16000,Stiffness,178000,5.186798056690e+03,1.600000000000e+04,1.139e-03,3.066e-06
